source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
38,126,Sede Central,Oficina de Planeamiento y Presupuesto,Unidad de Cooperacion Tecnica y Financiera,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000003,,74222358-0346,IP,172.16.23.114,,TL-5120X,,,,Activa,IMPORTAR,
39,103,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000093,202414923,74222358-0337,IP,172.16.23.161,,TL-5120X,,,,Activa,IMPORTAR,
40,39,Sede Central,Direccion de Gestion de la Innovacion Agraria,,HP,HP LASERJETMFP M426FDW,Impresora laser,BRBSHB1836,202412474,74084100-0110,IP,172.16.23.146,NPI2E900F,,,,,Activa,IMPORTAR,
41,77,Sede Central,Oficina de Gestion de Recursos Humanos,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000071,202405885,74222358-0343,IP,172.16.23.162,,TL-5120X,,,,Activa,IMPORTAR,
42,92,Sede Central,Oficina de Administracion,Unidad de Contabilidad,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000117,202406412,74222358-0330,IP,172.16.23.163,,TL-5120X,,,,Activa,IMPORTAR,
43,7,Sede Central,Gerencia General,Unidad de Tecnologia de la Informacion,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000118,202421415,74222358-0341,IP,172.16.23.167,,TL-5120X,,,,Activa,IMPORTAR,
44,9,Sede Central,Gerencia General,Unidad Funcional de Integridad,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000044,202419756,74222358-0345,IP,172.16.23.169,,TL-5120X,,,,Activa,IMPORTAR,
45,8,Sede Central,Gerencia General,Unidad Funcional de Integridad,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000006,202416134,74222358-0349,IP,172.16.23.170,,TL-5120X,,,,Activa,IMPORTAR,
46,124,Sede Central,Oficina de Asesoria Juridica,,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000094,202414740,74222358-0338,IP,172.16.47.20,,TL-5120X,,,,Activa,IMPORTAR,
47,18,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,PANTUM,BM5100FDW,Impresora multifuncional,CL5N000127,202419730,74222358-0334,IP,172.16.60.242,,TL-5120X,,,,Activa,IMPORTAR,
